Song,Album,Count,Alb-NY,MntCAN,TorCAN,MSG-NY,WshDC,Philly,Bos-MA,Chi-IL,Col-OH,KC-MO,SP-MN,EdmCAN,VanCAN,Ing-CA,LsV-NV,Controlled Danger - San Fran,Amsterdam,Amsterdam,Denmrk,Sweden,Norway,Denmrk,London 1,London 2,Controlled Danger - Atlanta,Alb-NM,Denv-CO,George-WA,Portlnd-OR,Pasa Rb-CA,Anaheim-CA,Bud Light Dive Bar: LA,Sac - CA,Mntn. View-CA,Ingwd-CA,Phnx-AZ,SanA-TX,Dal-TX,Woodlands-TX,Nshv-TN,NOrl-LA,Atl-GA,Sunrs-FL,Tampa-FL,Chrlt-NC,Ral-NC,Cmdn-NJ,Homl-NJ,Hartfd-CT,Srycs-NY,Wanta-NY,Controlled Danger - NYC,Bristw-VA,Cinn-OH,DarCntr-NY,Tornto-ON,CFalls-OH,Clrkstn-MI,TPark-IL,Nbsvil-IL,
Dreaming with a Broken Heart,C,4,,,,,,,,,,,,,,A,,,A,,,A,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarity,HT,4,,,,,,,,,,,,,,,,,,,,,,,,,,FB,FB,,,,FB,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,
XO,SINGLE,4,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,A,,,,,,,,,A,,
Inner City Blues,COVER,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,FB,FB,,,,,,,,,,FB,,,,,,,,,,,,,,,,,
War (David Ryan Harris),COVER,3,,FB,,FB,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Shuffle in E,COVER,3,,,,,,,,,,,T,,,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain't No Sunshine,COVER,3,,,,,T,,,,T,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heartbreak Warfare,BS,3,,,FB,,,,,,,,,,,,,,,FB,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfortable,IWO,3,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,
I'm Gonna Find Another You,C,3,,FB,,,,,,,,,,,,,FB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FB,,,,,,,
I Got A Woman,COVER,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,T,,,,,T,,,,,,,,,,,,,,
